sequence,song,artist,album,time,notes
1,Dumbness,Cherry,Dumbness,1:58,
2,Cat's Not a Cake,Mo Kenney,The Details,0:35,
3,Day 22,Fink,Resurgam,5:09,
4,Everyone But You,The Front Bottoms,Going Grey,3:30,
5,BREAK
6,Bloodhound Rock,JD McPherson,Undivided Heart & Soul,4:21,
7,Shame And Scandal,Skanga,,3:35,
8,Hard Act To Follow,Split Enz,Waiata,3:17,
9,Focused,Bully,Losing,4:30,
10,BREAK
11,Sugar Boy,St. Vincent,Masseduction,4:02,
12,Interlude with Les Hommes,Les Hommes,,3:14,
13,Wood,Rostam,Half-Light,5:42,
14,Can't Bear To Be Boring,Holiday Ghosts,Holiday Ghosts,2:33,
15,BREAK
16,Beat Down,Mister Heavenly,Boxing The Moonlight,3:15,
17,Lonesome Eyes,Terra Lightfoot,New Mistakes,4:12,
18,Dear Life,Beck,Colors,3:44,
19,BREAK
20,IDK About You,Fever Ray,Plunge,3:41,
21,Girlfriend,*Repeat Repeat,Floral Canyon,2:42,
22,Hurricanes,The Zephyr Bones,Secret Place,2:25,
23,Past Away,The Bronx,(V),2:54,
24,BREAK
25,Good Not Great,The Domestics,Little Darkness,3:11,
26,Mushroom Chair,We Wrote The Book on Connectors,Almost The Mayors Of Lasers,3:32,
27,A Rose For Emily,The Zombies,Odessey And Oracle: 50th Anniversary Edition,2:19,
28,The May Queen,Robert Plant,Carry Fire,4:14,
29,BREAK
30,In Light of No One,Dappled Cities,IIIII,4:34,
31,Over Everything,Courtney Barnett & Kurt Vile,Lotta Sea Lice,6:20,
32,Drained Lake,METZ,Strange Peace,3:05,
33,Used To Be Good Friends,Eyedress,Manila Ice,5:56,
34,BREAK
35,They Took The Waves,Escape-ism,Introduction To Escape-ism,4:05,
36,Space & Time,Wolf Alice,Visions Of A Life,2:27,
37,Eastern Standard Time,Don Drummond,The Reggae Box (Disc 1),3:14,
38,BREAK
39,Rango II,Vulfpeck,Thrill of the Arts,4:12,
40,That Old Black Magic,"Keely Smith, Louis Prima",Ultra-Lounge: Vegas Baby!,2:54,
41,Vienna,Makthaverskan,Ill,3:23,
42,My Invisible Friend,Twang Bang,Kicking the Toybox,2:09,
43,???,Ani DiFranco,Binary,3:54,
44,Analysis Paralysis,Jen Cloher,Jen Cloher,7:47,
45,Fame,David Bowie,Young Americans [2016 Reissue],4:21,
46,Fat Lenny,Ween,GodWeenSatan: The Oneness (25th Anniversary Edition),1:56,
47,Laid Back and Practical,Swarming Branch,Surreal Number,3:47,
48,BREAK
49,Hanging On The Telephone,The Nerves,Los Angeles Post-Punk (Volume 4),2:05,
50,"Pow (Theme From ""What's Up, Tiger Lily?"")",The Lovin' Spoonful,"What's Up, Tiger Lily? + You're A Big Boy Now",2:26,
51,Not Alright,The Pack A.D.,Dollhouse,3:00,
52,Spider,Ani DiFranco,Binary,3:54,
53,BREAK
54,Municipal,Mexican Institute Of Sound + Toy Selectah,Compass,3:36,
55,Tattoo of My Face,Phono Pony,Death by Blowfish - EP,3:13,
56,There Goes My Gun,Pixies,Doolittle (MFSL),1:50,
57,BREAK
58,War Ina Babylon,"Lee ""Scratch"" Perry",Super Ape Returns To Conquer,5:19,
