sequence,song,artist,album,time,notes
1,Wow,Beck,Colors,3:42,Like wow
2,Metal Baby,Benjamin Gibbard,Bandwagonesque,3:10,So very Teenage Fanclub fan club
3,Bluebird,Langhorne Slim,"Lost At Last, Vol. 1",1:55,Real old time
4,BREAK
5,Beechwood Park,The Zombies,Odessey And Oracle: 50th Anniversary Edition,2:43,"Timeless, ageless"
6,The Decline of Nations,La Louma,Let the World Be Flooded Out,3:27,Hymn for the skeptics
7,Melting,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,5:27,Snakecharming
8,I Don't Wanna Fall In Love,Saint Tropez,St. Tropez,1:49,New old stuff
9,BREAK
10,Elephant Walk,Lettuce,Mt. Crushmore,3:04,Funky green stuff
11,Dump The Guy Asap,Lisa LeBlanc,"Why You Wanna Leave, Runaway Queen?",3:26,Plinketty plunk
12,I Wanna Be Your Dog,decker.,Into The Red,4:13,Everybody wants to be a dog
13,Will You Please Be Quiet Please?,The Districts,Popular Manipulations,3:14,Go tell your mother
14,BREAK
15,June 3rd,Mo Kenney,The Details,2:08,Clearly an important date
16,Summertime In Your Lounge,Kane Strang,Two Hearts And No Brain,2:42,Almost like Marmoset
17,Squealer Two,Ty Segall,Emotional Mugger,3:24,With T Rex vapors
18,The State I Am In,Belle and Sebastian,The BBC Sessions,4:42,Scottish melancholy
19,BREAK
20,Paranoia,Holiday Ghosts,Holiday Ghosts,2:49,Gimme that yellin’
21,Against The 70's,Mike Watt,Ball-Hog Or Tugboat?,3:28,The kids of today
22,Pockets Full Of No,Coast Modern,Coast Modern,3:24,Bouncy AF
23,BREAK
24,Your Type,Alvvays,Antisocialites,2:04,Frantic
25,Stars Over Dakota,Terra Lightfoot,New Mistakes,3:12,Loving that voice
26,We Got The Gun,Clint Mansell,,4:52,Superb
27,On The Lips,JD McPherson,Undivided Heart & Soul,3:41,Hard to believe
28,BREAK
29,Time To Cry,Whitney Rose,Rule 62,3:58,Nice twang
30,Luv Like A Freak,Evolfo,Last Of The Acid Cowboys,2:15,Dig that wandering bass
31,Der Letzte Spieltag (Erobique Rmx),Die Moulinettes,,6:08,Sauntering music
32,Hungry Ghost,Hurray For The Riff Raff,The Navigator,3:26,Funeral pyre
33,BREAK
34,Ei Indio,Los De Abajo,Cybertropic Chilango Power,3:49,Sly rhythms
35,Told You I'd Be With The Guys,Cherry Glazerr,Apocalipstick,4:35,Know how to party
36,Touch Me I'm Sick,Mudhoney,Kurt Cobain About A Son,2:30,March to fuzz
37,College Student,The Scofflaws,Record of Convictions,2:57,Welcome back students!
38,BREAK
39,Fantastic Cat,Takako Minekawa,,3:57,Time for a catshot
40,Pinstriped Rebel,Comet Gain,,3:32,Gimme the deesko punk
41,Ladies Don't Play Guitar,Tennis,Archive CU,3:44,Front rangers
42,BREAK
43,Kills To Be Resistant,Bully,Losing,3:25,Don’t mess with the Bully
44,The Stars Get In The Way,Escape-ism,Introduction To Escape-ism,3:25,It’s all about inconsistent destiny
45,Minor Waltz,Asylum Street Spankers,My Favorite Record,2:34,Wailing on the saw
46,Slowpoke,Pee Wee King,Pee Wee King's Country Hoedown,2:57,"Eight o’clock, nine o’clock, quarter to ten"
47,BREAK
48,The Seeker,Dexter Romweber,,2:11,The Who as porch music
49,Dollhouse,The Pack A.D.,Dollhouse,3:34,Vancouver gold
50,Fever [Adam Freeland Remix],Sarah Vaughan,Verve Remixed 3,4:38,Update
51,Saint Catherine Creek,matt pond PA,Still Summer,2:02,Storytime
52,BREAK
53,Pineapple Tuesday,The Jazz Butcher,,5:18,It’s a conspiracy
54,Tiny Fortunes,Deer Tick,Deer Tick Vol. 2,2:34,From the happy volume
55,No Baguettes In The Ghetto,Habiluim,Shtetl Superstars,2:55,None to be found
56,BREAK
57,Resurgam,Fink,Resurgam,8:34,Take us out
