sequence,song,artist,album,time,notes
1,Fit But You Know It,The Streets,,,Hate it when this happens
2,Come Home,Chappo,,3:27,From an iOs 5 fan concept video
3,Hiphopopotamus Vs. Rhymenocerous (Featuring Rhymenocerous And The Hiphopapoatumus),Flight of the Conchords,,,The motherflippin’ Conchords
4,Wave of Mutilation,Pixies,,,Hard to believe I haven’t played this yet
5,All Night,The Countdown Quartet,,,Oh yeah
6,BREAK
7,Imaginary Tuba,The Bobs,,,A truly tragic tale
8,Coconut Boogaloo,"Medeski, Martin & Wood",,,Some truly stellar offbeats from Illy B
9,#9,Godzuki,,,It’s digital
10,Well,Guster,,,Nice fingerpicking
11,BREAK
12,I.C. Timer,Les Savy Fav,,,The robots demand dance music
13,Detention Girls,Sex Clark Five,,,For Lindsey and Kelly
14,Pencil Rain,They Might Be Giants,,,Awaiting the first lead
15,"(What's So Funny 'Bout) Peace, Love And Understanding?",Elvis Costello & The Attractions,,,Thank you Nick Lowe
16,Flat Duo Jets Anthem,Flat Duo Jets,,,Only a few can have their own anthem
17,BREAK
18,Rings Around Rosa,Eugene McGuinness,,,The mysterious Mr. McGuinness
19,VIP,Jungle Brothers,,,The party is upstairs
20,Tamale Lady,Rube Waddell,,,Yo tengo hambre
21,Full Throttle,The Wee Turtles,,,Quite wee and twee
22,BREAK
23,Panic,The Puppini Sisters,,,"All the sisters, all the Smiths"
