"date","","song","artist","album","time","notes","twitter","facebook","video"
"2024-08-13","28","mended own","marine eyes","to belong","3:54","Subtle wafting","NOW PLAYING: ""Monolith"" by Mr. Chop ... Southern hemispherical ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","29","about her. again.","Son Little","aloha","3:47","Indeterminate age","","",""
"2024-08-13","30","The Missing Person's Waltz","Chaz & The Motorbikes","Studebakersfield","2:24","Asking the mailman","NOW PLAYING: ""Forget"" by Dehd ... Rich textures ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","31","","","","","","NOW PLAYING: ""Insensible"" by Juana Molina ... Pensive on the piano ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","32","Also the Gorilla...","Thee Oh Sees & Osees","SORCS 80","4:11","Don’t forsake the ape","NOW PLAYING: ""Nasali Nini"" by KOKOKO! ... Keeping spirits at bay ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","33","Sherry Monocle","Mr B The Gentleman Rhymer","O.G. Original Gentleman","2:59","A tawdry spectacle","NOW PLAYING: ""Halogram"" by Atom™ ... Communications from the Lagrange points ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","34","Void","Ty Segall","Three Bells","6:44","Uncomfortable spaces","","",""
"2024-08-13","35","","","","","","NOW PLAYING: ""Wendorlan"" by Squarepusher ... Accelerating the bitcrush ... #nowplaying #kafm #indiemixtape #alternativemixtape https://the.lacking.org/","",""
"2024-08-13","36","Castañuelas","Alejandro Escovedo","Echo Dancing","4:02","Clickety click","","",""
"2024-08-13","37","El Tiradito","Friends Of Dean Martinez","","2:23","A night on the dunes","","",""
"2024-08-13","38","A Todo Tren","Los Diablos Rojos","Al Ritmo Del Son Satánico","3:24","Chugging down the rails","","",""
"2024-08-13","39","Lotsapoppa","Mestizo Beat","Jaraguá","3:38","For your police show soundtrack needs","","",""
"2024-08-13","40","","","","","","","",""
"2024-08-13","41","Please Don't Call On Me","Barry Adamson","Cut To Black","4:54","Darkness in sound","","",""
"2024-08-13","42","Mirage City","King Gizzard & The Lizard Wizard","Flight b741","4:48","A glorious vision","","",""
"2024-08-13","43","Disgust","A Place to Bury Strangers","Synthesizer","4:24","Wall of sound","","",""
"2024-08-13","44","End of Line (Boys Noize Remix)","Daft Punk","","5:40","Discopocalypse","","",""
"2024-08-13","45","","","","","","","",""
"2024-08-13","46","Fractal Zoom","Brian Eno","Eno (Original Motion Picture Soundtrack)","6:26","It’s neverending","","",""
"2024-08-13","47","Mokolo Likambu","KOKOKO!","BUTU","4:54","Reverse magic","","",""
"2024-08-13","48","Lilac","Hotel Pools","FiLo","2:54","Throbbing the sidechain","","",""
"2024-08-13","49","","","","","","","",""
"2024-08-13","50","The Hunting (Club Des Belugas Remix)","Bajka","Remixes","4:03","Don't pause","","",""
"2024-08-13","51","1958 (Skalpel Remix)","Skalpel","","5:01","Get your cool jerk on","","",""
"2024-08-13","52","Sahib Balkan","Buscemi","Sahib Balkan","4:29","Dust and spice","","",""
"2024-08-13","53","","","","","","","",""
"2024-08-13","54","Tapir Dub","Bardo Pond","Melt Away","5:57","Slow melting","","",""
